QuestionNumber,Question,RelatedTags,Answer
916,What exactly is stopping Mewtwo from rezzing Ambertwo?,"['Ambertwo', 'Aura', 'Legendary Pokemon', 'Mewtwo']","Mewtwo has no access to her biological remains, her Aura, or access to anyone who would have remembered the original Amber... on account of him killing her father."
917,Does Jirachi only have a local effect? Or does it make all of those around the world pursue their desires and dreams similar to ice types being boosted by Articuno?,"['Articuno', 'Draconids', 'Groudon', 'Jirachi', 'Legendary Birds', 'Legendary Pokemon']","As for Jirachi, it would have a much wider effect normally, even during hibernation. At least enough to drive the desires of those within a few hours, which waxes the closer it is to waking."
918,How widespread would it be unmuted? [see question 917],"['Jirachi', 'Legendary Pokemon']","I’d say that it would expand to at least Lavaridge and Fallarbor, but probably wouldn’t have a significant effect on Rustboro or Mauville."
919,Do Archie and Maxie have their R/S/E uniforms or their OR/AS uniforms?,"['Archie', 'Maxie', 'Meta']",ORAS uniforms for the most part.
920,"Was Mamoru really big, or just big by Rhydon standards? I thought he was Rhyperior sized?","['Mamoru', 'Pokemon Biology', 'Rhydon', 'Rhyperior']","For reference, Mamoru stands a good two to three feet higher than the average Rhyperior."
921,How prominent are the top Coordinators in terms of the public eye?,"['Coordinator', 'League']","I’ll chip in and say that Coordinators are a big deal. They and tournament trainers are two sides of the same coin. There is significant overlap, but top-tier Coordinators and top-tier trainers tend to be distinct - one of the reasons Wallace is such a big deal."
922,"Is Wallace unique in walking both roads then. I mean to his level it seems like it, pinnacle of both. But are there many that do that?","['Coordinator', 'Daisy', 'Pokemon Trainer', 'Wallace']","Nope! Even Daisy manages to be a high-level combat trainer even if she doesn’t like it. Wallace has just taken it further than most. The average trainers tend to be average at both, but the high-level coordinators still manage to be decent combatants for the most part."
923,On the Draconids.,"['Draconids', 'Dragonite', 'Hoenn', 'Salamence', 'Wataru Clan']","So, this is something I've been poking elf about, in an effort to create an architectural style and overall design for the draconids, and it's been really fascinating."
924,How did the Wataru spread to this generation if they married inside their family? Wouldn’t inbreeding eventually make that an impossibility to create more offspring?,"['Blackthorn City', 'Wataru Clan']","One thing to remember is that the Wataru are massive to the point that their clan compound is basically its own little town. Plenty of branch families, and it was fairly common to marry unrelated people from Blackthorn or political marriages with other noble families throughout Indigo to bring new blood in. You wouldn't see Targaryen-style inbreeding except in rare cases. It was pretty common to see first cousins marrying, but that's also been common throughout human history."
925,How do Jinx have pre-evolutions if they were humans changed by Hakuea?,"['Haukea', 'Jinx', 'Smoochum']",Jinx who are turned by Haukea are formed into Jinx directly. Second generation Jinx and beyond go through the Smoochum phase.
926,How did they work with Pokémon back then without Pokéball is the wonder?,"['Aura', 'Pokemon Trainer']","Psychics and Aura-users enabled the first bonds with pokemon to be formed, and after that it turned into a self-perpetuating partnership."
927,How does the Snag Machine work?  Does it override pokeball registrations?  Does it only work because Orre is a lawless hellhole and no one really tracks Pokemon ownership the same way as in Kanto?,"['Orre', 'Snag Machine', 'Technology']",Yeah it’s one of those things where there’s really no excuse for it unless the Pokémon is absolutely desperate or protecting itself. Sapience makes things simultaneously more and less complicated on that front.
928,On the requirements to challenge a region’s Champion.,"['Champion', 'Elite Four', 'League', 'Pokemon Battle']","You have to be part of a specific League’s Elite Four to challenge for the actual position. Most Champions would be happy to do exhibition battles and stuff, but having a random member of another League challenge for the Champion title introduces a lot of problems."
929,Has any member of an elite 4 or champion ever had someone use an exhibition or challenger match as an assassination attempt on them or their pokemon?,"['Champion', 'Elite Four', 'Pokemon Battle']","Nope, in a regulated setting like an exhibition match deaths are pretty much unheard of. Too much security, too many eyes watching, and too much access to medical care. Even if a fatal blow was dealt, odds are the Pokémon could be brought back."
930,How late is too late in the pokemon world? Brain death?,"['Pokemon Biology', 'Technology']","Pretty much. Their medical abilities are absolutely insane. Honestly, so much as the brain isn’t outright destroyed in battle I can imagine you’d be able to bring a Pokémon back (albeit with a ton of resources invested)."
931,On Plume’s moveset.,"['Air Slash', 'Feather Dance', 'Plume']",She does have Air Slash! I don’t believe so [she doesn’t have Feather Dance].
932,Does Infernus have Solar Beam?,"['Infernus', 'Solar Beam']","One of those things where he has it, but has no need for it really."
933,On how hard it is to learn Blast Burn.,"['Blast Burn', 'Master Trainer', 'Technology', 'TM']","To address some of the questions above, Blast Burn is learnable by all fire-types in Traveler but does not exist in TM form. It’s a closely guarded secret of Fire Masters, and only taught to those they hold in high regard (or who pay a sufficient amount). Most trainers and Pokémon would be unable to use it even if taught. Mastering even the first stages shows a high degree of both skill and determination."
934,So theoretically squirtle hydro cannon is a go?,"['Hydro Cannon', 'Squirtle']",Yep.
935,Is he [Lucian] a psychic in Traveler?,"['Lucian', 'Will']","Lucian isn’t psychic in Traveler. I can see him training his potential just enough to make it easier for him to contact, but he doesn’t have the potential to become someone like Will."
936,Couldn’t he give himself 20/20 vision with his Psychic powers?,"['Legendary Pokemon', 'Mewtwo']","He easily could! With his level of psychic power very little is beyond him. There’s really no point to it, though, since he almost exclusively uses his psychic perception already."
937,On Darkrai and Cresselia.,"['Concept', 'Cresselia', 'Darkrai', 'Legendary Pokemon', 'Lugia']",I haven’t addressed Darkrai and Cresselia yet lol. There’s some hints in Chapter 54 though. Lugia does represent the moon’s influence on the planet. Along with some other things.
938,You guys think Calanthia had the backing of a god when she started bringing Sinnoh back together?,"['Aura Guardians', 'Calanthia', 'Lake Orders']","She did not, but she did have the backing/was allies with the Aura Guardians of the time. And the Lake Orders."
939,On how Lugia influenced Kyogre’s rest.,"['Groudon', 'Kyogre', 'Legendary Pokemon', 'Lugia']",One thing to remember that hasn’t come up in a while is that Lugia’s basically erected seals around Kyogre’s resting place to prevent too much of its influence from leaking out and causing issues like Groudon’s is.
940,On how Elf will adapt the movies.,['Meta'],I’m planning on incorporating elements from the movies - you can assume most of the basic stuff is the same - but actual execution will be extremely different haha. I think Spell of the Unown will be the last truly adapted movie.
941,"We already know japanese style names were the norm in today's Kanto and Johto, but did Sinnoh and Hoenn have similar styles as well?","['Dragonite', 'Hoenn', 'Indigo', 'Johto', 'Kanto', 'Meta', 'Pidgeot', 'Wataru Clan']","Sort of! I’ve based Sinnoh a bit off of Greece, so you’d see more Greek-style names popping up back in the day, although there’s also some overlap introduced from relationships with Indigo and other regions - Indigo had a particular advantage in making contact with isolated places thanks to their abundant Pidgeot and the Wataru’s Dragonite. You see some elements of Indigo’s culture and naming conventions spreading due to that."
942,"Since they [Ranger Union] didn’t use pokeball, how did civilians tame Pokémon or help themselves when Rangers aren’t nearby?","['Last War', 'Pokemon Behaviour', 'Ranger Union', 'Technology', 'Unova']","The Ranger Union tends to have extremely close relationships with local Pokémon, partly a result of the cooperation between human and Pokémon during the Unovan incursions during the Last War. They’ve historically had great relationships, but that deepened it into something spectacular. Civilians oftentimes find partnerships with Pokémon without any pokeballs involved, although Rangers are definitely the experts in those situations."
943,So Ranger Union territory is what N tried to achieve in Unova and the rest of the world?,"['Guardians of Indigo', 'N', 'Ranger Union', 'Wild Pokemon']","Yep! Well, the Rangers sort of act like how Guardians of Indigo did in ancient times. It’s pretty common for them to have 1-2 extremely close companions, but recruiting other local Pokémon for additional support when needed."
944,If Ash got his Teleport TM recharged could he teach it to Oz like he did infernus?,"['Ash', 'Infernus', 'Oz', 'Technology', 'Teleport', 'TM']","Hmm, if I remember correctly Teleport is a permanent TM (but it’s been a long time, so please correct me if I’m wrong). He can teach her at any time, although Oz doesn’t have quite as much psychic affinity so she couldn’t abuse it as heavily as Infernus. It would be a good addition to her repertoire, however."
945,"Were some of Kanto and Johto's clans formed from remnants of civilizations or broken clans migrating during that period, and settling in?","['Blackthorn City', 'Cerulean City', 'Indigo City', 'Johto', 'Kanto', 'Mahogany Town', 'Rota']","Yep! That’s a great observation. Northern territories like Rota, what was once Indigo City, Cerulean, Blackthorn, and Mahogany all received an influx of new blood, although admittedly there weren’t too many years for the migration south to take place, unfortunately."
946,Necrozma is an ultra beast in Traveler right?,"['Legendary Pokemon', 'Necrozma', 'Ultra Beasts']","It’s actually a true Legend, unlike the other Ultra Beasts!"
947,On how far apart are all the Unown.,['Unown'],"Earth is somewhat special, but on a cosmic scale it still only has the tiniest fraction of Unown. They’ve been scattered pretty much evenly all over the universe."
948,How are Claydol made? Are they aura-crafted or something else?,"['Arid Zone', 'Aura', 'Baltoy', 'Claydol', 'Legendary Pokemon', 'Mew', 'Pokemon Biology']","So, basically that’s a situation where Mew’s boredom came into play. It showed the ancient people of the Arid Zone how to infuse Aura into their symbolic golems to breathe life into them - Baltoy and Claydol were basically like good fortune symbols or used like gargoyles initially until the first were animated, and were made to be able to self-replicate."
949,On Mew’s appearance.,"['Legendary Pokemon', 'Mew']",Mew is basically the softest thing in the universe. All the better to make friends!
950,Has Mew changed its form often then? like if one culture sees pink cats as demonic omens would it change to blue cat when around them? [see question 949],"['Legendary Pokemon', 'Mew']",Yep! Mew basically just appeals to the audience. Which is helped by being a psychic god that can live in an entire nation’s head.
951,"Do actual paved roads between cities exist, and not just dirt paths?","['Dark World', 'Meta', 'Pokemon Trainer', 'Psychic type', 'Ranger Union', 'Rapidash', 'Sinnoh', 'Technology', 'Teleport', 'Wild Pokemon']","Cars aren’t really a thing, though they do exist. Subways exist in cities, and trains were once extremely common, with a notable route going from Indigo, around the Dark World, up through the Ranger Union, and to Sinnoh. Railroads are extremely expensive to maintain since even a weak wild Pokémon could easily destroy or damage a section, so they rapidly fell out of popularity once matter-energy conversion became more common over the last century."
952,Do quiet stealth helicopters exist like the military has?,"['Flying type', 'Hyper Beam', 'Meta', 'Technology']","I’d say most likely not, simply because there wouldn’t be a real need for them. Flying-types are already incredibly quick, agile, and quiet (when they want to be), and the real problem I think would be the relative strength of pokemon. One good Hyper Beam would probably be enough to seriously damage a helicopter like that, so they’d end up being too expensive for what they’re used for."
953,Would you say that Noctowl are preferred for stealth?,"['Hypnosis', 'Noctowl']","Yep! Their silent flight, perception, and specialized psychic powers or things like Hypnosis are a huge bonus on that front."
954,"How hard is it to gather specific species to complete these tasks? Say Unova wanted a Noctowl squadron, would they formally request the Johtoan government for it or would they request prior trainers to donate eggs to train for their requirements?","['Johto', 'League', 'Noctowl', 'Unova']","No worries! Usually they’d rely on trainers who already have them and are associated with the Unovan League. Leagues tend to adapt to whatever their local Pokémon are, so you wouldn’t really see Leagues requesting specific pokemon. What you might see is trainers with Noctowl being loaned out to a friendly League temporarily."
955,I was wondering if there existed trainers that lived out of RVs and if they could actually get around their region?,"['Meta', 'Technology']","That would be a sight to see haha. But unfortunately RV’s aren’t really an option, although with storage technology you can basically make the equivalent of a cabin wherever you go."
956,What's considered impressive for a rookie trainer to achieve in their first league? Like good and above average but not prodigy level?,"['Conference', 'Master Trainer', 'Pallet Town', 'Pokemon Trainer']",Top 64. Maybe top 32. Making the top 16 in your first Conference is basically shorthand for being a future Master.
957,Would you say that there are such thing as “late bloomers” for trainers? Those who start off slow but eventually reach the highest levels?,"['Amelia', 'Ash', 'Gary', 'Jonathan', 'Pokemon Trainer']","And absolutely! There are plenty of trainers who only start to take it seriously after a few years, or who slowly and steadily grow. Prodigy freaks like Ash, Gary, Amelia, or Jon are definitely the exception.Of course, you also have plenty of trainers who start out strong and jump ahead, only to either burn out or are unable to take their craft to the highest level. Lots of trainers who use powerful Pokémon but lack the ability to innovate or excel, so anyone truly skilled or creative can outfight them."
958,So did Jon get scammed by his Fire Master?,"['Fire type', 'Jonathan', 'Master Trainer']","Nah, I’d say he got exactly what he paid for. Jon got an extremely powerful technique, but since he doesn’t have the extremely deep knowledge of fire-types that a specialist or Master has he can’t take it to its fullest potential."
959,"If Delia ever became a trainer in her youth, what starter do you think she would have picked?","['Delia', 'Kanto', 'Pokemon Starter', 'Pokemon Trainer']","That’s a hard one! I don’t think she’d be in a position to get the standard Kanto starters, but I totally see her getting a relatively common mon and making it into something really special."
960,On Blackthorn Gym’s purpose.,"['Blackthorn City', 'Conference', 'Indigo', 'Gym', 'Pokemon Trainer', 'Viridian City']","One thing to note is that Blackthorn is kind of designed to be brutal. It gatekeeps the Silver Conference much like Viridian gatekeeps the Indigo. Even the side gyms up there are significantly challenging. Manageable for a skilled trainer, but they don’t take it easy."
961,How common is it for someone to not be a trainer at all?,['Pokemon Trainer'],"I’d say around 99% of people have at least one Pokémon companion. Almost everyone has had some sort of training career, although not everyone goes on a journey and most never progress past the level of a trainer with 4-5 badges. Generally strong enough to protect themselves, but most wash out before they can become genuinely powerful."
962,What do they call “ACE” trainers in Hoenn?,"['ACE Trainer', 'Galar', 'Kalos', 'National League', 'NOBLE Trainer', 'SEEK Trainer', 'Unova']","ACE Trainers are all called the same thing throughout the National League, but have different names in Kalos, Unova, and Galar. Unova has SEEK and Galar has NOBLE."
963,On what constitutes a Pokemon trainer.,"['Conference', 'Meta', 'Pokemon Trainer']","I use ‘trainer’ basically as a catchall for anyone who has a Pokémon and trains them somewhat, even if they don’t try to shoot for Conference. Pretty much everyone’s going to need at least one decently skilled Pokémon for many job opportunities, so there’s an incentive to train to at least the point your Pokémon can do something useful…plus most kids/early teens who are starting out think battling is the coolest thing ever lol."
964,On whether the necessary infrastructure exists for Ash to post some dank memes.,"['League', 'Meta', 'Porygon', 'Technology']","Hmm so the internet isn’t very sophisticated/ not really a thing in Traveler at this point. It’s very, very primitive. Mostly downloadable databases - Porygon absolutely monitor League installations, but wouldn’t be involved in other unrelated ones (but corporations might have Porygon on loan to protect themselves)."
965,"Is there a lot of focus on developing it [internet], either through League or private efforts? [see question 964]","['Meta', 'Technology']","Nope, not really a focus on developing it. Kind of like what [redacted] said - nobody’s quite even realized the potential at this point. They’re getting the most basic, practical use out of digital technologies at the moment, but I imagine over the next few years as regions become ever more connected that it might become more and more like our own."
966,So how does the pokedex and email systems work in Traveler?,"['Meta', 'Technology']","They do have connections between networks, but it’s pretty much only used for official League or commercial purposes."
967,Who has the strongest trained Pokémon in Traveler and what is it?,"['Bruno', 'King Under the Mountain', 'Metagross', 'Pokemon Battle']","Yep, I’d say Metagross is overall the strongest. The King amassed his power before Bruno caught him, so I don’t really count that."
968,Who does Ash see as his biggest rival currently?,"['Ash', 'Karen', 'Will']","And yep, I’d say Will and Karen are his current benchmarks. They’re just out of reach after his time in Indigo."
969,Do trainer have to go through gym rosters again every time a league came up? Or the badges they get from their old trip is good enough?,"['Gym', 'Gym Badges', 'League', 'Pokemon Trainer']",They have to go through gym rosters each time!
970,On the Elite Four challenge.,"['Champion', 'Elite Four', 'Pokemon Battle']",My current system is basically that the Elite Four challenge takes place over at least 3-4 weeks. It would require that long for injuries to heal and for all Pokémon to be at their full power.
971,"We know that Blaine is a former member of the Elite Four, and we know the names of a few of the previous Champions of the Indigo League... but are there any other retired Elite Four members of note still around in Kanto and Johto?","['Blaine', 'Champion', 'Elite Four', 'Indigo', 'Johto', 'Kanto', 'League']","There are undoubtedly several in retirement, but none alive that I’ve really put much thought into to be honest! That might be a fun thing for me to think about."
972,"Was it Mew's job as Guardian of Life that had it be the one who dealt with Mewtwo or was it just because Mewtwo was its clone? What does being the Guardian of life entail really, stopping  giant plagues or something?","['Concept', 'Legendary Pokemon', 'Mew', 'Mewtwo']","Mew’s job as the Guardian of Life is strictly to protect life against things it can’t reasonably be expected to survive on its own - in practice, that means Legendaries. Plagues are fine, extinction of specific species is fine, but when a Legendary threatens life itself, it’s Mew’s responsibility to make sure life continues."
973,On how Ash was able to resist Jirachi.,"['Ash', 'Concept', 'Jirachi', 'Legendary Pokemon']","If I remember correctly, Ash didn’t need the Concepts to avoid falling victim to Jirachi."
974,"I know Traveler Orre doesn’t have any Wild Pokémon like in the games, but does it have relatively few or a regular amount for a region?","['Orre', 'Region', 'Wild Pokemon']","It has a smaller amount, but that number is gradually increasing!"
975,On how Orre compares to Alola.,"['Alola', 'Last War', 'National League', 'Orre', 'Region', 'Southern Continent', 'Technology', 'Unova']","Orre actually is the jewel of the Southern Continent, which is a tragedy. It has the largest population, the most advanced technology (a result of many Unovan remnants fleeing the Last War after the National League’s counterattack), and is one of the only centers of civilization on the Southern Continent, even if it’s currently a garbage heap of a region lol."
976,"When you mean unovan remnants fleeing, do you mean Orrian scavenged the tech or did the Unovan contribute the tech? [see question 975]","['Cipher', 'Last War', 'Orre', 'Region', 'Technology', 'Unova']","I don’t want to go into much detail (it’s something I’d rather leave for the story to tell) but basically, some pieces of the Unovan invasion forces weren’t able to regroup to island fortresses or retreat back to Unova proper. As a result, several groups ended up in Orre to carve up territory as warlords, much of which helped to destabilize the region further and were later incorporated into Cipher."
977,Is Fantina Kalosian?,['Fantina'],Yep!
978,Any thought about where the likes of an old master like Mustard would rank among the young bucks. Would his team be out of their prime like Oak or Drake?,"['Champion', 'Drake', 'Master Trainer', 'Mustard', 'Professor Oak']","For Mustard, I see him being like Drake where his team is still in top form. Drake has an edge on him in how long-lived his team is, but Mustard seems the type to continuously strive for improvement. His team might age, but he compensated with more fine control and skill. Mustard is still in the Champion tier, although he isn’t what he once was."
979,Is Drake and Mustard stronger than Oak?,"['Champion', 'Drake', 'Master Trainer', 'Mustard', 'Professor Oak']","Oak is still high Master, although even Champions wouldn’t be eager to scrap with him due to his brilliant mind. Mustard and Drake are both stronger than Oak since they’ve maintained their training."
980,What would they do with Drake’s dragons when he dies?,"['Dragon type', 'Drake', 'League', 'Pokemon Behaviour', 'Pokemon Trainer']","One thing to remember is that since Pokémon are sapient, that pretty much ceases to be an issue. When their trainer dies, most Pokémon go their own way, whether that’s returning to the wild, staying with a friend or family member, or selecting a new trainer. The dragons are going to go where they will, and they’re not likely to just go and rampage. If they did, that’s when the League would get involved."
981,On Zygarde’s concept.,"['Concept', 'Legendary Pokemon', 'Zygarde']","Yep, Zygarde is equilibrium. It’s the balance, a representation of the natural order of things."
982,So how high of a weight class can Zygarde step in to try and restore the equilibrium?,"['Concept', 'Legendary Pokemon', 'Reshiram', 'Xerneas', 'Yveltal', 'Zekrom', 'Zygarde']","Hmm, can’t say too much on that. I will say that whereas Xerneas and Yveltal aren’t really active physically, being sort of like Zekrom and Reshiram on that front, Zygarde is extremely powerful physically. It acts, unlike the others."
983,What would happen if a Ghost was able to nom nom on a Legend's aura (and I'm going on the basis of the Legend allowing it and not immediately destroying it)?,"['Aura', 'Ghost type', 'Legendary Pokemon', 'Pokemon Biology']","That's an interesting question! So, the majority of ghosts would basically burn out from trying to directly consume a Legend’s Aura. Very powerful ones could survive, and perhaps even use it as a food source, but it would alter them. Regular ghosts could experience something similar by feeding on the Aura of a place or organisms that have been exposed to a Legend’s Aura - secondhand Concept exposure, basically."
984,On whether it is possible for multiple Legends to select the same Champion.,"['Concept', 'Champion', 'Legendary Pokemon']","As for multiple Legends selecting the same human or Pokémon as their Champion… technically possible, but very likely to completely burn out the mortal. Most Legends don’t like to share, and hosting two Concepts would obliterate pretty much any mortal’s mind and soul, particularly if those Concepts were liable to interact in a hostile manner. It would take someone very special to manage that without tearing apart at the seams."
985,Any other characters other than Ash which could handle multiple concepts?,"['Ash', 'Aura', 'Concept', 'God-King', 'Mamoru']","God-King could definitely do it for reasons that will be explored later. Other than that, not really."
986,I'm going to guess that the God King runs counter to what Elf says about how humans empowered by Concepts still can't match Pokemon. Or was that just about Ash?,"['God-King', 'Legendary Pokemon', 'Lugia']","Yep, God-King was basically at the level of Lugia. Extraordinarily powerful."
987,Have past legends wiped out species by accident that Mew hasn't brought back?,"['Legendary Pokemon', 'Mew', 'Pokemon Behaviour']","Nope - Mew allows a species to live or die by its own merits, but if it was strictly due to a Legend’s actions then Mew would repopulate the species."
988,What would Mew do if Rayquaza decided to keep ending humanity?,"['Legendary Pokemon', 'Mew', 'Pokemon Behaviour', 'Rayquaza']","Mew would just keep remaking them, or wait Rayquaza out - it doesn’t have the capacity for a prolonged campaign."
989,On Pokeballs’ history.,"['Apricorn Balls', 'Aura', 'Last War', 'Pokeballs', 'Professor Oak', 'Technology']","So, pokeballs have existed in their current form for about fifty years, and primitive working copies (extremely expensive and impractical, generally very large) have been around for about seventy-five. Apricorn balls have been around for centuries and developed into those primitive pokeballs, although for a long time they worked in…let’s just say esoteric ways rather than technological. Apricorn balls were extremely expensive and pretty much only used by nobility, and even they could only afford a few of them."
990,"Could the process [of a Pokemon materializing] be disrupted, and what would happen if it were?","['Pokeballs', 'Technology']","It could be disrupted, but at no harm to the Pokémon. It would just cancel the conversion and return the Pokémon to its pokeball."
991,What happens if you destroy the container [Pokeball]?,"['Last War', 'Pokeballs', 'Technology']","For my own sanity and to avoid tactics in the Last War of ‘shatter these pokeballs within enemy ranks to nuke them’ I’ll say it just releases the Pokémon. And yep, pokeballs are extremely tough and durable."
992,Pokemon are conscious within the pokeball right?,"['Pokeballs', 'Technology']","Somewhat. I liken it to being in a shallow sleep - they’re vaguely aware of what’s going on and can release themselves if there’s a huge stimulus, but overall they’re just in stasis."
993,On Professor Oak’s impact on the Pokeball fabrication process.,"['Last War', 'Pokeballs', 'Professor Oak', 'Technology']","Professor Oak would have only had a few years to work on pokeballs, but they were already a viable product by then and much more mainstream than even a decade before the Last War."
994,What pokemon would be the best choice to have as a companion for a sailor?,"['Dragonite', 'Indigo', 'Pidgeot', 'Region', 'Sinnoh', 'Wataru Clan']","Oceans would be extremely dangerous. Up until the last few centuries only a tiny handful of groups could manage short voyages across the water. Ocean travel was almost impossible - initial contact between regions was largely done by explorers on the backs of Pidgeot, Dragonite, etc. The Wataru had a very successful tradition of explorers - quite a few made a major mark on Sinnoh’s perception of Indigo since travel was so difficult."
995,"Has the plot in Pokemon rangers diverged or is it relatively the same? And if so, has it already taken place or will it take place?","['Meta', 'Ranger Union']","It’s relatively the same at this point, with some differences (similar to how the Orre games are handled). One of those situations where you can assume canon until otherwise, although the Ranger Union likely won’t play a major role to where we’ll see those differences."
996,"So is the Psychic Sense its own sense or is it more of a  ""use psychic powers to collect environmental data then feed data to other senses for translation"" type thing? like if Dazed sensed something behind her using psychic powers would it be like she was seeing them or is it a completely distinct sense?","['Dazed', 'Pokemon Biology', 'Psychic Sense', 'Psychic type']","It’s completely distinct! I’d say it does intertwine a bit with her other senses, but for the most part it’s an information dump into the brain. Closest I’d compare it to is echolocation."
997,Can that sense be overloaded like sight and hearing? or is it not as vulnerable to the anti-psychic technique? [see question 996],['Psychic type'],"Oh absolutely. The best way to mess with a psychic is overstimulation of senses, and the psychic sense isn’t immune. Easiest way is lots of people and Pokémon, but another psychic can mimic the effect with the equivalent of a psychic scream."
998,What's the best place for education in Kanto for an aspiring researcher?,"['Celadon City', 'Cerulean City', 'Kanto', 'Saffron City', 'Vermillion City']","I’d say Saffron is probably the home of the largest universities in Kanto, although there are tons and tons of institutions all over. Celadon undoubtedly has major ones, and I can see Cerulean and Vermillion having their fair share as well."
999,Is Gyarados a Flying type in Traveler?,"['Flying type', 'Gyarados', 'Hurricane', 'Infernus', 'Water type']","So for Gyarados, they’re considered a water/flying-type in Traveler purely because I don’t like changing types from the games. I can see it being classified as such in the old days because I imagine Hurricane is a favorite of wild Gyarados - perfect for territorial displays and tearing fliers out of the sky when Gyarados is hunting."
1000,How would a master level gyarados approach combat considering the amount of techniques that are used to neutralise gyarados in general?,"['Grey', 'Gyarados', 'Gym Leader', 'Master Trainer', 'Michael', 'Pokemon Battle', 'Primeape', 'Salamence', 'Water type']","Ironically, I think a Master-level Gyarados would avoid water-type techniques except when it knew it was safe since they open up a vulnerability."
1001,On Ninjask’s speed.,['Ninjask'],"Yep, I see Ninjask as being able to hit high speeds for traveling, but I really see it as just dominating in close confines. Too quick and too agile to hit."
1002,"How... is the interior of the Indigo League? Where the Elite Four and the Elite Four trainees live, more precisely. I seem to remember something about psychic restrictions making the entire place a maze for any except the Champion. Are Elite Four also immune? Do they all live in close quarters, or do they have their own ""segment"" of the league? ...Do they have fancy carpets all throughout the corridors because they can afford to have them and keep them clean?","['ACE Trainer', 'Champion', 'Elite Four', 'Indigo', 'League']","So, there are psychics and ghosts stationed to mess with unauthorized perceptions. League members stationed there such as ACE trainers on duty and Elite Four members are fine. Other personnel authorized to be there are okay as well."
1003,Does Dazed have names for other people close to Ash?,"['Ash', 'Champion', 'Dazed', 'Lance', 'Steven']","Yes she does! She has them fitting more into slots or roles than unique names. Lance is ‘Champion-Mentor’ for example, and I believe Steven would be something similar if not identical since they fill a similar role in Ash’s life."
1004,What are the names that other party members have for their companions and such?,"['Ash', 'Infernus', 'Pokemon Behaviour', 'Psychic type', 'Tangrowth', 'Torrent']",For Infernus and Torrent they have Recollections chapters where you can see a few of them. All Pokémon tend to see things more in terms of roles/concepts than humans (while psychics are especially reliant on that).
1005,On Paul.,"['Ash', 'Paul', 'Pokemon Trainer']","Paul would treat Ash with a ton of respect. There’s definitely a bit of a one-sided rivalry if they meet, simply because Paul sees Ash as a mountain to climb. As long as Ash wasn’t busy he’d see no issue with indulging Paul with a battle."
1006,Would we see some mentoring there as well? From Ash to Paul?,"['Ash', 'Paul', 'Pokemon Trainer', 'Sinnoh']","I don’t think so, specifically because of Paul’s attitude towards training. There’s no way Ash would bother with him until he got his act together. And even then Ash would be a busy boy in Sinnoh."
1007,On Orre’s current technology.,"['Cipher', 'Orre', 'Technology']","I think Orre tends to be very in your face with their tech - it’s outdated outside of previous Cipher installations, but a lot of civilization relies so heavily on it to survive that you see more of it."
1008,How does Feebas evolve in Traveler?,"['Evolution', 'Feebas', 'Pokemon Biology']",I basically have it as Feebas developing high self-esteem.
1009,How well can pokemon communicate with each other in Traveler? Particularly across wildly different species that are nothing alike?,"['Language', 'Pokemon Behaviour']","They can communicate tone and emotion through their noises, but more complex meaning tends to be imparted by the rudimentary psychic abilities shared by all pokemon. Not so much words as impressions, feelings, and images."
1010,So how do dark types communicate with others if part of it is psychic abilities?,"['Dark type', 'Language', 'Pokemon Behaviour']","There’s a reason dark-types tend to be pariahs among other pokemon. They’re unable to have meaningful communication with others. As a result, many dark-types have evolved to live in packs for their own protection."
1011,Does that mean a lot of trained dark types feel like outcasts since they can't interact well with the rest of their team?,"['Dark type', 'Language', 'Pokemon Behaviour']","Yep, although they generally find ways to communicate a little better just through familiarity. It isn’t normally a crippling limit though. Just an inconvenience."
1012,"Circling back to the Dark type communication problem [see question 1010], would it be accurate to compare it to trying to talk to someone with a very thick accent, or trying to talk using similar but distinct language, like Portuguese and Spanish? also Weavile is noted to have a writing system using scratches on trees, was that developed in response to communication difficulties between pack mates?","['Dark type', 'Language', 'Pokemon Behaviour', 'Weavile']","I’d say it’s more like the similar but distinct language - close enough to translate broad meanings, but the finer details get lost. And yep! A lot of dark-types have very complex social systems and communication skills for that reason."
1013,Do you have any obvious flaws you see in Traveler's society?,"['Champion', 'Meta', 'League']","That's an interesting question! In a lot of ways, Traveler’s society is very idyllic. Pokemon provide the answer to a lot of problems, both directly and indirectly by shaping a society that can’t afford to be careless or weak."
1014,I wonder if that’s happened in the past to a League? [see question 1013],"['Chinatsu', 'Hoenn', 'League', 'Sinnoh']","Definitely Sinnoh and Hoenn (even without the League system, governments will have a high martial focus). Pretty much every region was like that in the past. Even Chinatsu would allow it to a point, although mostly when she deemed it necessary. She’s brutally pragmatic like that."
1015,"When two masters meet, do they tend to gravitate towards fields that work in their favor? How would a water master contribute to a wide scale fight that's mainly inland?","['Master Trainer', 'Rain Dance']","Yep, they definitely shoot for fields in their favor. Every advantage counts in a battle like that. A lot of Water Masters will try to use things like Rain Dance to even the playing field, even if it’s not the same as having something like a pond or lake. A lot of Water Masters are sure to develop levitation abilities in their team so that they aren’t helpless away from a body of water."
1016,Rhydon are seen as relatively not smart (would be the kindest way to say it) but we see Mamoru is quite smart even in Champion. Is Mamoru an outlier of his species?,"['Champion', 'Dazed', 'Mamoru', 'Rhydon', 'Rhyhorn']","Pretty much what [redacted] said! On average I’d say Rhyhorn aren’t the brightest, but there are plenty that could be right up there with Dazed or average pokemon, plus even the dim ones can grow a bit more aware and experienced over time."
